omega,contrast,method,estimate,p,n,note
omega2,Between people,Person-mean Pearson r,0.23089113807613681,0.00447351454585751,150,Descriptive continuous association
omega2,Between people,Person-mean Spearman rho,-0.10894528645717588,0.18447775470082334,150,Descriptive continuous association
omega2,Within person,Centered Pearson r,0.21192183857050606,1.2859020312100376e-11,1000,Descriptive continuous association
omega2,Within person,Centered Spearman rho,0.059062374546306445,0.06190015153221566,1000,Descriptive continuous association
omega2,Within person,Winsorized Pearson r,0.1903362935942005,1.3033832103538653e-09,1000,Descriptive continuous association
omega2,Between people,Mixed model b,0.1636302466717715,0.04287231101951167,1000,Primary week-adjusted random-intercept model
omega2,Within person,Mixed model b,0.17634439438070348,5.0147314551519365e-08,1000,Primary week-adjusted random-intercept model
omega2,Between people,Completers mixed model b,0.09219810684466175,0.3602027320783834,856,107 participants with all eight weeks
omega2,Within person,Completers mixed model b,0.16777551011403288,4.437818920874503e-07,856,107 participants with all eight weeks
omega3,Between people,Person-mean Pearson r,0.27872908200786056,0.0005526020608685228,150,Descriptive continuous association
omega3,Between people,Person-mean Spearman rho,0.1574523312147207,0.054319759250135755,150,Descriptive continuous association
omega3,Within person,Centered Pearson r,0.07229623624229974,0.02223433630003019,1000,Descriptive continuous association
omega3,Within person,Centered Spearman rho,0.018247603243358224,0.5643677169878638,1000,Descriptive continuous association
omega3,Within person,Winsorized Pearson r,0.05929685983283175,0.060870410152406816,1000,Descriptive continuous association
omega3,Between people,Mixed model b,0.28560927767979505,0.0032723945571657494,1000,Primary week-adjusted random-intercept model
omega3,Within person,Mixed model b,0.056211660522599044,0.03886869371585844,1000,Primary week-adjusted random-intercept model
omega3,Between people,Completers mixed model b,0.2804815377256052,0.014425094368164327,856,107 participants with all eight weeks
omega3,Within person,Completers mixed model b,0.04737210119586664,0.10380090775491567,856,107 participants with all eight weeks
omega2,Between people,Joint mixed model b,0.062244954353422734,0.4935175819950752,1000,Both omegas in one model
omega2,Within person,Joint mixed model b,0.1744765425874048,4.6113595348895553e-07,1000,Both omegas in one model
omega3,Between people,Joint mixed model b,0.2515616431266428,0.023762082954275923,1000,Both omegas in one model
omega3,Within person,Joint mixed model b,0.004885006681655619,0.8646819041134481,1000,Both omegas in one model
omega2,Between people,Participant-cluster robust OLS b,0.05465021386173594,0.7078025432890562,1000,Week-adjusted covariance-model check
omega2,Within person,Participant-cluster robust OLS b,0.17434853038513642,0.027543188021751822,1000,Week-adjusted covariance-model check
omega2,Between people,1% winsorized mixed model b,0.16372714985030315,0.04476063600034985,1000,Omega and rigidity tails clipped before re-standardizing
omega2,Within person,1% winsorized mixed model b,0.16603381518693702,1.872828738690193e-07,1000,Omega and rigidity tails clipped before re-standardizing
omega2,Between people,Top-1% influence-deleted mixed model b,0.06831811534904829,0.37017570993558624,990,Removed 10 rows with largest OLS Cook distances
omega2,Within person,Top-1% influence-deleted mixed model b,0.08844957820929875,0.004501564542254644,990,Removed 10 rows with largest OLS Cook distances
omega2,Between people,Participant-specific week-trend mixed model b,0.1379398585595157,0.09183631913661179,1000,Random intercept and linear week slope; converged=True
omega2,Within person,Participant-specific week-trend mixed model b,0.19386055020091175,3.257876637195239e-09,1000,Random intercept and linear week slope; converged=True
omega2,Between people,Leave-switch_rate-out mixed model b,0.10553438647332904,0.19623743571233976,983,Three-facet rigidity composite
omega2,Within person,Leave-switch_rate-out mixed model b,0.23243095949227777,1.16008208792993e-10,983,Three-facet rigidity composite
omega2,Between people,Leave-switch_momentum-out mixed model b,0.07084489128735169,0.3839573610636735,991,Three-facet rigidity composite
omega2,Within person,Leave-switch_momentum-out mixed model b,0.22538722465160088,2.3261088476565666e-10,991,Three-facet rigidity composite
omega2,Between people,Leave-structure-out mixed model b,-0.10489549087201752,0.22269049402165975,983,Three-facet rigidity composite
omega2,Within person,Leave-structure-out mixed model b,0.0901739001232755,0.00866387274981858,983,Three-facet rigidity composite
omega2,Between people,Leave-reward_sensitivity-out mixed model b,0.1375033479290006,0.10256667206210358,992,Three-facet rigidity composite
omega2,Within person,Leave-reward_sensitivity-out mixed model b,0.132199120989272,1.420562646829254e-05,992,Three-facet rigidity composite
omega2,Half-session stability,Half-session Pearson r,0.7003762498984499,2.5703735856194872e-148,1000,Association of first- and second-half HGF fits
omega2,Half-session stability,Half-session Spearman rho,0.671962948376059,2.5705118153878432e-132,1000,Association of first- and second-half HGF fits
omega2,Half-session order,Paired half2-minus-half1 mean difference,-0.114644229526,0.00032289852366146723,1000,Negative values indicate systematically lower second-half fits
omega2,Between people,Four-facet complete-case mixed model b,0.0181516593571606,0.8316678437680242,983,All four rigidity facets observed
omega2,Within person,Four-facet complete-case mixed model b,0.17464982400757162,3.990352011896601e-07,983,All four rigidity facets observed
omega2,Between people,half1-specific mixed model b,0.13470620906109426,0.10609790522240634,1000,Full-session rigidity related to one supplied half fit
omega2,Within person,half1-specific mixed model b,0.15454386790731164,7.355955787751126e-07,1000,Full-session rigidity related to one supplied half fit
omega2,Between people,half2-specific mixed model b,0.1960299177854941,0.02178232636910524,1000,Full-session rigidity related to one supplied half fit
omega2,Within person,half2-specific mixed model b,0.13377828328491803,7.896880021710533e-06,1000,Full-session rigidity related to one supplied half fit
omega3,Between people,Participant-cluster robust OLS b,0.2249117809003173,0.08181398569125618,1000,Week-adjusted covariance-model check
omega3,Within person,Participant-cluster robust OLS b,0.05736780759782155,0.13590778963792016,1000,Week-adjusted covariance-model check
omega3,Between people,1% winsorized mixed model b,0.2849336819536751,0.0035330647235586364,1000,Omega and rigidity tails clipped before re-standardizing
omega3,Within person,1% winsorized mixed model b,0.05451975951207412,0.04256825566690968,1000,Omega and rigidity tails clipped before re-standardizing
omega3,Between people,Top-1% influence-deleted mixed model b,0.1993892612667102,0.02893626376301856,990,Removed 10 rows with largest OLS Cook distances
omega3,Within person,Top-1% influence-deleted mixed model b,0.018155492593097598,0.4606513127792208,990,Removed 10 rows with largest OLS Cook distances
omega3,Between people,Participant-specific week-trend mixed model b,0.26062627826712287,0.007366520201658552,1000,Random intercept and linear week slope; converged=True
omega3,Within person,Participant-specific week-trend mixed model b,0.05413628521016343,0.03974125056488371,1000,Random intercept and linear week slope; converged=True
omega3,Between people,Leave-switch_rate-out mixed model b,0.18451573466173685,0.050580909227964405,983,Three-facet rigidity composite
omega3,Within person,Leave-switch_rate-out mixed model b,0.05238958705342527,0.0816883591046804,983,Three-facet rigidity composite
omega3,Between people,Leave-switch_momentum-out mixed model b,0.2668428268197727,0.004102033814001207,991,Three-facet rigidity composite
omega3,Within person,Leave-switch_momentum-out mixed model b,0.0945826382705534,0.0014220653892524232,991,Three-facet rigidity composite
omega3,Between people,Leave-structure-out mixed model b,0.04634553626102,0.6468226625484115,983,Three-facet rigidity composite
omega3,Within person,Leave-structure-out mixed model b,0.003428602825558096,0.9029660325908084,983,Three-facet rigidity composite
omega3,Between people,Leave-reward_sensitivity-out mixed model b,0.28973805968847394,0.004178838243030033,992,Three-facet rigidity composite
omega3,Within person,Leave-reward_sensitivity-out mixed model b,0.05376199237278941,0.033876275721274086,992,Three-facet rigidity composite
omega3,Half-session stability,Half-session Pearson r,0.18428409580982408,4.341269084939444e-09,1000,Association of first- and second-half HGF fits
omega3,Half-session stability,Half-session Spearman rho,0.23595519235969759,4.0552209996537646e-14,1000,Association of first- and second-half HGF fits
omega3,Half-session order,Paired half2-minus-half1 mean difference,-0.55737640746,6.626804611094529e-38,1000,Negative values indicate systematically lower second-half fits
omega3,Between people,Four-facet complete-case mixed model b,0.177075960405776,0.07272867652275815,983,All four rigidity facets observed
omega3,Within person,Four-facet complete-case mixed model b,0.052063732837976204,0.06745356618734953,983,All four rigidity facets observed
omega3,Between people,half1-specific mixed model b,0.4175441994008399,3.955530005387023e-05,1000,Full-session rigidity related to one supplied half fit
omega3,Within person,half1-specific mixed model b,0.08428740609407863,0.0011321252295898342,1000,Full-session rigidity related to one supplied half fit
omega3,Between people,half2-specific mixed model b,0.05634616034034532,0.5976342713474918,1000,Full-session rigidity related to one supplied half fit
omega3,Within person,half2-specific mixed model b,-0.012992199059150087,0.613106148783388,1000,Full-session rigidity related to one supplied half fit
omega2,Between people,Cross-half 1→2 mixed model b,0.0789743017213411,0.3346719066677666,998,Omega from one contiguous half predicts rigidity scored in the other half
omega2,Within person,Cross-half 1→2 mixed model b,0.06421363369814705,0.05817559569025855,998,Omega from one contiguous half predicts rigidity scored in the other half
